"level_3_id","payload","title","level_2_id_fk"
"1","computerscience","Computer Science","10"
"2","chemistry","Chemistry","10"
"3","biochemistry","Biochemistry","10"
"4","geography","Geography","10"
"5","mathematics","Mathematics","10"
"6","geology","Geology","10"
"7","biotechnology","Biotechonology","10"
"8","botany","Botany","10"
"9","physics","Physics","10"
"10","english","English","9"
"11","economics","Economics","9"
"12","hindi","Hindi","9"
"13","geography","Geography","9"
"14","history","History","9"
"15","french","French","9"
"16","konkani","Konkani","9"
"17","marathi","Marathi","9"
"18","psychology","Psychology","9"
"19","philosophy","Philosophy","9"
"20","sociology ","Sociology","9"
"21","portuguese","Portuguese","9"
"22","softwaredevelopment","Software Development","8"
"23","multimedia","Multimedia","8"
"24","VFX","VFX","8"
"25","computerscience","Computer Science","7"
"26","chemistry","Chemistry","7"
"27","geography","Geography","7"
"28","economics","Economics","6"
"29","english","English","6"
"30","psychology","Psychology","6"
"31","geography","Geography","6"
"32","zoology","Zoology","10"
"33","na","na","4"
"34","na","na","3"
"35","na","na","2"
"36","na","na","1"
