"level_5_id","level_4_id_fk","details"
"1","1","This B.Sc programme is for students interested in 
Object Oriented Programming, 
Database Administration, 
Web Designing, 
Software Engineering, 
Computer Networking, 
Operating systems, 
Server Side Programming, 
Mobile Application Development, 
Multimedia Techniques etc.

B.Sc curriculum includes core courses in:
Programming, 
Advanced Database Management Systems, 
Operating Systems, Data Structures, 
Computer Networking, 
Computer Architecture & Organization etc. 

The elective courses include:
Software engineering, 
Web Designing, Server Side Programming, 
Embedded Systems, 
HCI, 
Cloud Computing, software Testing, 
Multimedia Techniques, 
Digital Marketing etc.
"
"2","2","University fees : 630.00
Tuition fees : 2050.00
Examination fees : 3550.00
General deposit : 230.00
Student aid fund : 130.00
Gymkhana fund : 420.00
Laboratory pract fee : 2470.00
Library fee : 470.00
Other fee : 420.00
I.T fee : 820.00
Student service charge : 10000.00
IAIMS fees : 225.00

Total : 21415.00"
"3","3","How to apply:
To apply for admission, please visit our college website http://www.chowgules.ac.in/admission/
and complete the online admission form as per instructions provided therein.
Contact Person: Mr. Harish Nadkarni, Vice Principal email: hsn001@chowgules.ac.in
Documents required:
Students are required to bring two photocopies (self-attested) of each of the following documents
along with the originals at the time of admission.

a. For Goa Board students:
1. Two photocopies of qualifying examination mark sheets (XIIth).
2. Two photocopies of Leaving Certificate.
3. Two Photographs .

b. For other Board/Universities students:
1. Two photocopies of qualifying examination mark sheets (XIIth).
2. Original as well as two photocopies of Transfer/Leaving certificate.
3. Original as well as two photocopies of Migration certificate.
4. Provisional Eligibility Certificate from Chowgule college.
5. Two Photographs .

c. For International students:
International students applying directly for admission need to submit an application to the
Principal stating their desire to seek admission along with their Passing Certificate, Transcript of
records, copy of syllabus containing details of course of studies pursued in various courses in the
examination passed by the applicant (duly countersigned by High Commissioner of India in the
country). If the student is found eligible, prima facie letter will be sent to the student for carrying
out further necessary formalities. Following documents are required to be submitted:
1. Four photocopies of qualifying examination mark sheets (XIIth).
2. Two Photographs.
3. Two photocopies of Student Visa.
4. Two photocopies of Passport.
5. Original AIDS Test Report.
6. Certificate of proficiency in English.
7. Equivalence Certificate.
8. Resident Permit and ‘C’ Form.

Once the student’s admission is confirmed, he/she is required to attend the Counselling
session organized by the faculty of the department, the date of which will be intimated to
students by the college authorities.
a) The number of seats approved by the appropriate statutory authority in respect of each course or programme of study for the academic year for which admission is proposed to be made is 180 for Arts

b) The conditions of the minimum and maximum age limit of persons for admissions as a student in a particular course or programme of study is 18 years and above

c)The process of selection of eligible candidates applying for such admission: Based on Merit and Personal Counseling and Reservation Policy
"
"4","4",
"5","5","BSc Chemistry is a 3 years undergraduate course in India. The course curriculum deals with various aspects of chemistry including chemical reactions and chemical composition of substances.

B.Sc curriculum includes core courses in:
General Physical and Inorganic Chemistry,
General Organic and Inorganic Chemistry,
Concepts in Physical and Analytical Chemistry,
Concepts in Organic and Inorganic Chemistry,
Comprehensive Chemistry –I,
Comprehensive Chemistry –II,
Advanced Chemistry – I (Physical & Inorganic Chemistry), 
Advanced Chemistry-II : Organic and Analytical Chemistry, etc.

The elective courses include:
Name Reactions and Synthetic Methodologies,
Introduction to Industrial Chemistry,
Surface Chemistry and Catalysis,
Bioinorganic Chemistry,
Pharmaceutical Chemistry,
Polymer and Colloid Science,
Spectroscopic Techniques,
Chemistry of Natural Products, 
Heterocyclic Chemistry,
Nanomaterials and solid state Chemistry,
Organometallic Chemistry,
Chemistry of main group elements,
Spectroscopic Methods in Organic Chemistry,
Environmental Chemistry,
Selected Topics in Inorganic Chemistry, etc
"
"6","6","University fees : 630.00
Tuition fees : 2050.00
Examination fees : 3550.00
General deposit : 230.00
Student aid fund : 130.00
Gymkhana fund : 420.00
Laboratory pract fee : 2470.00
Library fee : 470.00
Other fee : 420.00
I.T fee : 820.00
Student service charge : 10000.00
IAIMS fees : 225.00

Total : 49300.00
"
"7","7","How to apply: To apply for admission, please visit our college website http://www.chowgules.ac.in/admission/ and complete the online admission form as per instructions provided therein. Contact Person: Mr. Harish Nadkarni, Vice Principal email: hsn001@chowgules.ac.in Documents required: Students are required to bring two photocopies (self-attested) of each of the following documents along with the originals at the time of admission.  a. For Goa Board students: 1. Two photocopies of qualifying examination mark sheets (XIIth). 2. Two photocopies of Leaving Certificate. 3. Two Photographs .  b. For other Board/Universities students: 1. Two photocopies of qualifying examination mark sheets (XIIth). 2. Original as well as two photocopies of Transfer/Leaving certificate. 3. Original as well as two photocopies of Migration certificate. 4. Provisional Eligibility Certificate from Chowgule college. 5. Two Photographs .  c. For International students: International students applying directly for admission need to submit an application to the Principal stating their desire to seek admission along with their Passing Certificate, Transcript of records, copy of syllabus containing details of course of studies pursued in various courses in the examination passed by the applicant (duly countersigned by High Commissioner of India in the country). If the student is found eligible, prima facie letter will be sent to the student for carrying out further necessary formalities. Following documents are required to be submitted: 1. Four photocopies of qualifying examination mark sheets (XIIth). 2. Two Photographs. 3. Two photocopies of Student Visa. 4. Two photocopies of Passport. 5. Original AIDS Test Report. 6. Certificate of proficiency in English. 7. Equivalence Certificate. 8. Resident Permit and ‘C’ Form.  Once the student’s admission is confirmed, he/she is required to attend the Counselling session organized by the faculty of the department, the date of which will be intimated to students by the college authorities. a) The number of seats approved by the appropriate statutory authority in respect of each course or programme of study for the academic year for which admission is proposed to be made is 180 for Arts  b) The conditions of the minimum and maximum age limit of persons for admissions as a student in a particular course or programme of study is 18 years and above  c)The process of selection of eligible candidates applying for such admission: Based on Merit and Personal Counseling and Reservation Policy"
"8","8",
"9","9","Bachelor of Science in Biochemistry or BSc Biochemistry is a 3-year undergraduate course in chemical and physio-chemical processes. It is a branch of science that deals with chemistry applied to the study of living organisms and the atoms and molecules which comprise living organisms.

B.Sc curriculum includes core courses in:
Molecules of Life, Cell Biology, 
Protein chemistry, Biophysics, 
Enzymology, 
Metabolism of Biomolecules, 
Tools & Techniques in Biochemistry, 
Microbiology, 
Molecular biology, 
Immunology, etc

The elective courses include:
Bioethics and Biosafety, 
Plant Biochemistry, 
Human physiology, 
Nutritional Biochemistry, 
Hormone: Biochemistry and Function, 
Advanced Cell Biology, 
Concepts in genetics, 
Regulation of gene expression, 
Genetic Engineering and Biotechnology, 
Bioinformatics, 
Biochemical correlation of Diseases, 
Clinical Biochemistry,
Environmental Biochemistry, 
Industrial Biochemistry, etc.
"
"10","10","University fees : 800.00
Tuition fees : 2050.00
Examination fees : 3550.00
General deposit : 230.00
Student aid fund : 130.00
Gymkhana fund : 420.00
Laboratory pract fee : 2470.00
Library fee : 470.00
Other fee : 420.00
I.T fee : 820.00
Student service charge : 10000.00
IAIMS fees : 225.00

Total : 43000.00
"
