"level_1_id","payload","title"
"1","undergraduate","Undergraduate"
"2","postgraduate","Postgraduate"
"3","postgraduatediploma","Postgraduate Diploma"
"4","diploma","Diploma"
"5","phd","PhD"
"level_2_id","payload","title","level_1_id_fk"
"1","aviation","Aviation, Hospitality & Customer Service","4"
"2","hindi","Hindi","5"
"3","geography","Geography","5"
"4","geography","Geography","3"
"5","computerscience","Computer Science","3"
"6","masterofarts","Master of Arts","2"
"7","masterofscience","Master of Sciece","2"
"8","bachelorofvocation","Bachelor of Vocation","1"
"9","bachelorofarts","Bachelor of Arts","1"
"10","bachelorofscience","Bachelor of Science","1"
"level_3_id","payload","title","level_2_id_fk"
"1","computerscience","Computer Science","10"
"2","chemistry","Chemistry","10"
"3","biochemistry","Biochemistry","10"
"4","geography","Geography","10"
"5","mathematics","Mathematics","10"
"6","geology","Geology","10"
"7","biotechnology","Biotechonology","10"
"8","botany","Botany","10"
"9","physics","Physics","10"
"10","english","English","9"
"11","economics","Economics","9"
"12","hindi","Hindi","9"
"13","geography","Geography","9"
"14","history","History","9"
"15","french","French","9"
"16","konkani","Konkani","9"
"17","marathi","Marathi","9"
"18","psychology","Psychology","9"
"19","philosophy","Philosophy","9"
"20","sociology ","Sociology","9"
"21","portuguese","Portuguese","9"
"22","softwaredevelopment","Software Development","8"
"23","multimedia","Multimedia","8"
"24","VFX","VFX","8"
"25","computerscience","Computer Science","7"
"26","chemistry","Chemistry","7"
"27","geography","Geography","7"
"28","economics","Economics","6"
"29","english","English","6"
"30","psychology","Psychology","6"
"31","geography","Geography","6"
"32","zoology","Zoology","10"
"33",NULL,NULL,NULL
"34",NULL,NULL,NULL
"35",NULL,"Marathi",NULL
"36",NULL,NULL,NULL
"level_4_id","payload","title","level_3_id_fk"
"1","subjectdetails","Subject Details","1"
"2","fees","Fees","1"
"3","admissiondetails","Admission Details","1"
"4","faq","FAQ's","1"
"5","subjectdetails","Subject Details","2"
"6","fees","Fees","2"
"7","admissiondetails","Admission Details","2"
"8","faqs","FAQ's","2"
"9","subjectdetails","Subject Details","3"
"10","fees","Fees","3"
"11","admissiondetails","Admission Details","3"
"12","faqs","FAQ's","3"
"13","subjectdetails","Subject Details","4"
